x_center,y_center,z_center,i,j,k,Density,Cut,Mo,As,Recu,Dure,Cate,Cate_3,Cate_2,Cate_1,Cate_0,Cate_9999
2910,3290,2894,0,0,59,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2912,0,0,60,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2930,0,0,61,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2948,0,0,62,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2966,0,0,63,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,2984,0,0,64,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3290,3002,0,0,65,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3310,1832,0,1,0,2.71,0,0,0,89.34,12.6,3,100,0,0,0,0
2910,3310,1850,0,1,1,2.71,0.67,0.01,0.09,89.34,12.6,3,100,0,0,0,0
2910,3310,1868,0,1,2,2.71,0.48,0.01,0.06,80.84,12.7,3,100,0,0,0,0
2910,3310,1886,0,1,3,2.71,0.44,0.01,0.13,80.84,12.7,3,100,0,0,0,0
2910,3310,1904,0,1,4,2.71,0.44,0.01,0.1,74.67,13.76,3,100,0,0,0,0
2910,3310,1922,0,1,5,2.71,0.46,0.01,0.07,87.91,14.14,3,100,0,0,0,0
2910,3310,1940,0,1,6,2.71,0.49,0.01,0.09,74.67,13.76,3,100,0,0,0,0
2910,3310,1958,0,1,7,2.71,0.51,0,0.14,74.67,13.76,3,100,0,0,0,0
2910,3310,1976,0,1,8,2.71,0.16,0,0.23,74.67,13.76,3,100,0,0,0,0
2910,3310,1994,0,1,9,2.48,0.24,0,0.16,74.67,13.76,3,100,0,0,0,0
2910,3310,2012,0,1,10,2.48,0.19,0,0.14,74.67,13.76,3,100,0,0,0,0
2910,3310,2030,0,1,11,2.48,0.11,0,0.1,74.67,13.76,3,100,0,0,0,0
2910,3310,2048,0,1,12,2.48,0,0,0,80.84,12.7,3,100,0,0,0,0
2910,3310,2066,0,1,13,2.48,0.11,0,0.01,70.11,-1,0,0,0,0,100,0
2910,3310,2084,0,1,14,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3310,2102,0,1,15,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3310,2120,0,1,16,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3310,2138,0,1,17,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3310,2156,0,1,18,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3310,2174,0,1,19,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3310,2192,0,1,20,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3310,2210,0,1,21,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3310,2228,0,1,22,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3310,2246,0,1,23,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
